Index,City,Country
1,LONDON,UK
2,BERLIN,Germany
3,MADRID,Spain
4,ROMA,Italy
5,KIEV,Ukraine
6,PARIS,France
7,BUCURESTI (Bucharest),Romania
8,BUDAPEST,Hungary
9,Hamburg,Germany
10,MINSK,Belarus
11,WARSZAWA (Warsaw),Poland
12,BEOGRAD (Belgrade),Serbia
13,WIEN (Vienna),Austria
14,Kharkov,Ukraine
15,Barcelona,Spain
16,Milano (Milan),Italy
17,Munchen (Munich),Germany
18,PRAHA (Prague),Czech Republic
19,SOFIA,Bulgaria
20,Dnepropetrovsk,Ukraine
21,Donetsk,Ukraine
22,Napoli (Naples),Italy
23,Birmingham,UK
24,Odessa,Ukraine
25,Koln (Cologne),Germany
26,Torino (Turin),Italy
27,ZAGREB,Croatia
28,Zaporozhye,Ukraine
29,Lodz,Poland
30,Marseille,France
31,RIGA,Latvia
32,Lvov,Ukraine
33,ATHINAI (Athens),Greece
34,Salonika,Greece
35,STOCKHOLM,Sweden
36,Krakow,Poland
37,Valencia,Spain
38,AMSTERDAM,Netherlands
39,Leeds,UK
40,Kryvy Rig,Ukraine
41,Sevilla,Spain
42,Palermo,Italy
43,KISHINEV,Moldova
44,Genova,Italy
45,Frankfurt am Main,Germany
46,Wroclaw (Breslau),Poland
47,Glasgow,UK
48,Zaragoza,Spain
49,Essen,Germany
50,Rotterdam,Netherlands
51,Dortmund,Germany
52,Stuttgart,Germany
53,VILNIUS,Lithuania
54,Poznan,Poland
55,Dusseldorf,Germany
56,LISBOA (Lisbon),Portugal
57,HELSINKI,Finland
58,Malaga,Spain
59,Bremen,Germany
60,Sheffield,UK
61,SARAJEVO,Bosnia
62,Duisburg,Germany
63,Hannover,Germany
64,Mykolaiv,Ukraine
65,OSLO,Norway
66,KOBENHAVN (Copenhagen),Denmark
